alchemist_acid_spray,Acid Spray
modifier_broodmother_poison_sting_debuff,Poison Sting (debuff)
modifier_broodmother_spawn_spiderite_debuff,Spawn Spiderite (debuff)
modifier_broodmother_spawn_spiderlings,Spawn Spiderlings debuff
modifier_centaur_khan_endurance_aura_bonus,Endurance Aura Buff
modifier_clarity_potion,Clarity Potion regen
modifier_crystal_maiden_brilliance_aura_effect,Brilliance Aura (CM)
modifier_crystal_maiden_crystal_nova,Crystal Nova Slow
modifier_crystal_maiden_freezing_field_slow,Freezing Field Slow effect
modifier_crystal_maiden_frostbite,Frostbite Debuff
modifier_dragon_knight_corrosive_breath,Corrosive Breath
modifier_dragon_knight_corrosive_breath_dot,Corrosive Breath DOT
modifier_dragon_knight_frost_breath,Frost Breath
modifier_dragon_knight_frost_breath_slow,Frost Breath Slow
modifier_dragon_knight_splash_attack,Splash Attack (DK)
modifier_faceless_void_chronosphere,Chronosphere
modifier_faceless_void_chronosphere_freeze,Chronosphere'd Debuff
modifier_faceless_void_time_walk_slow,Time Walk Slow Debuff
modifier_faceless_void_timelock_freeze,Time Lock Stun
modifier_flask_healing,Flask Heal
modifier_forged_spirit_melting_strike_debuff,Melting Strike Debuff
modifier_ghost_frost_attack_slow,Frost Attack Debuff
modifier_gnoll_assassin_envenomed_weapon_poison,Envenomed Weapon debuff
modifier_illusion,Illusion
modifier_invisible,Invisible
modifier_invoker_alacrity,Alacrity
modifier_invoker_chaos_meteor_burn,Chaos Meteor Burn Debuff
modifier_invoker_chaos_meteor_land,Chaos Meteor Land Debuff
modifier_invoker_cold_snap,Cold Snap Debuff
modifier_invoker_deafening_blast_disarm,Deafening Blast Disarm Debuff
modifier_invoker_deafening_blast_knockback,Deafening Blast Knockback Debuff
modifier_invoker_exort_instance,Exort Instance
modifier_invoker_ghost_walk_enemy,Ghost Walk Slow Aura
modifier_invoker_ghost_walk_self,Ghost Walk Invisibility
modifier_invoker_ice_wall_slow_aura,Ice Wall Slow Aura
modifier_invoker_ice_wall_slow_debuff,Ice Wall Slow Debuff
modifier_invoker_ice_wall_thinker,Ice Wall Thinker
modifier_invoker_quas_instance,Quas Instance
modifier_invoker_sun_strike,Sun Strike
modifier_invoker_tornado,Tornado debuff
modifier_invoker_wex_instance,Wex Instance
modifier_invulnerable,Invulnerable
modifier_item_ancient_janggo_active,Drum Active Buff
modifier_item_ancient_janggo_aura_effect,Drum's aura
modifier_item_armlet_unholy_strength,Unholy Strength Buff/Debuff
modifier_item_assault_negative_armor,Assault Cuirass Negative Armor Hero Debuff
modifier_item_assault_positive,Assault Cuirass Positive Armor Buff
modifier_item_assault_positive_buildings,Assault Cuirass Positive Armor Building Buff
modifier_item_buckler_effect,Buckler Armor Effect
modifier_item_diffusal_blade_slow,Diffusal Blade Slow
modifier_item_dustofappearance,Dust of Appearance debuff
modifier_item_forcestaff_active,Force Staff Push
modifier_item_headdress_aura,Headress Aura Buff
modifier_item_mask_of_madness_berserk,Berserk (MoM)
modifier_item_mekansm_aura,Mekansm Aura
modifier_item_mekansm_spell,Mekansm Buff
modifier_item_mjollnir_static,Static Charge Buff
modifier_item_phase_boots_active,Phase Boots Buff
modifier_item_pipe_barrier,Pipe Barrier Buff
modifier_item_radiance_debuff,Radiance tick
modifier_item_ring_of_aquila_aura_bonus,RoA Aura
modifier_item_ring_of_basilius_aura_bonus,RoB Aura
modifier_item_satanic_unholy,Satanic Unholy Rage Buff
modifier_item_soul_ring_buff,Soul Ring Buff
modifier_item_urn_damage,Urn of Shadows Damage
modifier_item_urn_heal,Urn of Shadows Heal
modifier_item_vladmir_main,Vladmir auras
modifier_knockback,Knockback Debuff
modifier_lina_fiery_soul,Fiery Soul
modifier_lina_laguna_blade,Laguna Blade effect
modifier_maledict,Maledict debuff
modifier_orchid_malevolence_debuff,Orchid Malevolence Debuff
modifier_polar_furbolg_ursa_warrior_thunder_clap,Thunder Clap Debuff (Neutral)
modifier_pudge_dismember,Dismembered Debuff
modifier_pudge_flesh_heap,Flesh Heap Buff
modifier_pudge_meat_hook,Meat Hook Pull Debuff
modifier_pudge_rot,Rot Slow debuff
modifier_queenofpain_shadow_strike,Shadow Strike
modifier_riki_smoke_screen,Smoke Screen debuff
modifier_riki_smoke_screen_thinker,Smoke screen thinker debuff (?)
modifier_roshan_slam,Roshan Slam Slow
modifier_rune_doubledamage,Double Damage Rune effect
modifier_rune_haste,Haste Rune effect
modifier_rune_invis,Invisibility Rune Effect
modifier_rune_regen,Regen Rune effect
modifier_shadow_demon_disruption,Disruption
modifier_shadow_demon_purge_slow,Demonic Purge Debuff
modifier_shadow_demon_shadow_poison,Shadow Poison Debuff
modifier_shadow_demon_soul_catcher,Soul Catcher Debuff
modifier_sheepstick_debuff,Scythe of Vyse Debuff
modifier_slardar_amplify_damage,Amplify Damage Debuff
modifier_slardar_sprint,Sprint Buff
modifier_slithereen_crush,Slithereen Crush's slow
modifier_smoke_of_deceit,Smoke of Deceit Buff
modifier_storm_spirit_ball_lightning,Ball Lightning Buff
modifier_storm_spirit_electric_vortex_pull,Electric Vortex Pull Debuff
modifier_storm_spirit_electric_vortex_self_slow,Electric Vortex Self Slow Debuff
modifier_storm_spirit_overload,Overload buff
modifier_storm_spirit_overload_debuff,Overload Debuff
modifier_stunned,Stunned
modifier_tango_heal,Tango Heal
modifier_teleporting,Teleporting (buff)
modifier_drow_ranger_trueshot,Trueshot Aura Buff
modifier_tidehunter_gush,Gush Slow/-Armor Debuff
modifier_warlock_fatal_bonds,Fatal Bonds Debuff
modifier_shadow_shaman_shackles,Shackles Debuff
modifier_warlock_shadow_word,Shadow Word buff/debuff
modifier_shadow_shaman_voodoo,Voodoo debuff
modifier_tinker_laser_blind,Blinded debuff
warlock_shadow_word,Shadow Word
modifier_drow_ranger_frost_arrows_slow,Frost Arrow Slow Debuff
modifier_morphling_morph,Morphing buff
modifier_morphling_morph_str,Morphing into STR buff
modifier_tidehunter_anchor_smash,Anchor Smash debuff
modifier_juggernaut_healing_ward_aura,Healing Ward Aura
modifier_juggernaut_healing_ward_heal,Healing Ward Heal
modifier_juggernaut_blade_fury,Blade Fury Buff
modifier_warlock_golem_permanent_immolation_debuff,Permanent Immolation Debuff
modifier_silence,Silence
modifier_tidehunter_ravage,Ravage debuff
modifier_juggernaut_omnislash,Omnislashing effect
modifier_morphling_adaptive_strike,Adaptive Strike Effect
modifier_item_tranquil_boots_heal,Tranquil Boots Heal
modifier_tinker_march_thinker,March of the machines (debuff?)
modifier_necronomicon_archer_aura,Necro Archer Aura
item_tranquil_boots,Tranquil Boots
modifier_morphling_replicate_timer,Replicate Timer
modifier_tinker_rearm,Rearm channeling
modifier_sange_and_yasha_buff,Sange & Yasha Buff
modifier_cyclone,Cyclone (Eul)
modifier_warlock_upheaval,Upheaval (debuff)
modifier_item_shivas_guard_aura,Shiva's Guard Aura
modifier_item_invisibility_edge_windwalk,Wind Walk (Shadow Blade)
item_shivas_guard,Shiva's Guard
modifier_item_shivas_guard_blast,Shiva's Guard Blast debuff
modifier_voodoo_restoration_heal,Voodoo Restoration Buff
modifier_zuus_static_field,Static Field Debuff
morphling_adaptive_strike,Adaptive Strike
morphling_morph,Morph
morphling_morph_agi,Morph Str->Agi
morphling_morph_replicate,Jump into Replicate
morphling_morph_str,Morph Agi->Str
morphling_replicate,Replicate
morphling_waveform,Waveform
necrolyte_death_pulse,Death Pulse
necrolyte_heartstopper_aura,Heartstopper Aura
necrolyte_reapers_scythe,Reaper's Scythe
necrolyte_sadist,Sadist
necronomicon_archer_aoe,Speed Aura (Necro Archer)
necronomicon_archer_mana_burn,Mana Burn (Necro Archer)
necronomicon_warrior_last_will,Last Will (Necro Warrior)
necronomicon_warrior_mana_burn,Mana Break (Necro Warrior)
necronomicon_warrior_sight,True Sight (Necro Warrior)
neutral_spell_immunity,Spell Immunity
nevermore_dark_lord,Presence of the Dark Lord
nevermore_necromastery,Necromastery
nevermore_requiem,Requiem of Souls
nevermore_shadowraze1,Shadow Raze (Short)
nevermore_shadowraze2,Shadow Raze (Medium)
nevermore_shadowraze3,Shadow Raze (Long)
night_stalker_crippling_fear,Crippling Fear
night_stalker_darkness,Darkness
night_stalker_hunter_in_the_night,Hunter in the Night
night_stalker_void,Void
npc_dota_badguys_fillers,Dire Building
npc_dota_badguys_fort,Dire Ancient
npc_dota_badguys_melee_rax_bot,Dire Bottom Melee Barracks
npc_dota_badguys_melee_rax_mid,Dire Mid Melee Barracks
npc_dota_badguys_melee_rax_top,Dire Top Melee Barracks
npc_dota_badguys_range_rax_bot,Dire Bottom Ranged Barracks
npc_dota_badguys_range_rax_mid,Dire Mid Ranged Barracks
npc_dota_badguys_range_rax_top,Dire Top Ranged Barracks
npc_dota_badguys_siege,Dire's Siege Creep
npc_dota_badguys_tower1_bot,Dire Bottom Tier 1 Tower
npc_dota_badguys_tower1_mid,Dire Mid Tier 1 Tower
npc_dota_badguys_tower1_top,Dire Top Tier 1 Tower
npc_dota_badguys_tower2_bot,Dire Bottom Tier 2 Tower
npc_dota_badguys_tower2_mid,Dire Mid Tier 2 Tower
npc_dota_badguys_tower2_top,Dire Top Tier 2 Tower
npc_dota_badguys_tower3_bot,Dire Bottom Tier 3 Tower
npc_dota_badguys_tower3_mid,Dire Mid Tier 3 Tower
npc_dota_badguys_tower3_top,Dire Top Tier 3 Tower
npc_dota_badguys_tower4,Dire Tier 4 Tower
npc_dota_beastmaster_boar,Boar
npc_dota_beastmaster_greater_boar,Greater Boar
npc_dota_brewmaster_earth_1,Earth Panda (Lv1)
npc_dota_brewmaster_earth_2,Earth Panda (Lv2)
npc_dota_brewmaster_earth_3,Earth Panda (Lv3)
npc_dota_brewmaster_earth_4,Earth Panda (Lv4)
npc_dota_brewmaster_fire_1,Fire Panda (Lv1)
npc_dota_brewmaster_fire_2,Fire Panda (Lv2)
npc_dota_brewmaster_fire_3,Fire Panda (Lv3)
npc_dota_brewmaster_fire_4,Fire Panda (Lv4)
npc_dota_brewmaster_storm_1,Storm Panda (Lv1)
npc_dota_brewmaster_storm_2,Storm Panda (Lv2)
npc_dota_brewmaster_storm_3,Storm Panda (Lv3)
npc_dota_brewmaster_storm_4,Storm Panda (Lv4)
npc_dota_broodmother_spiderite,Spiderite
npc_dota_broodmother_spiderling,Spiderling
npc_dota_broodmother_web,Web
npc_dota_courier,Courier
npc_dota_creep_badguys_melee,Melee Dire Creep
npc_dota_creep_badguys_melee_upgraded,Melee Dire Mega Creep
npc_dota_creep_badguys_ranged,Ranged Dire Creep
npc_dota_creep_badguys_ranged_upgraded,Ranged Dire Mega Creep
npc_dota_creep_goodguys_melee,Melee Radiant Creep
npc_dota_creep_goodguys_melee_upgraded,Melee Radiant Mega Creep
npc_dota_creep_goodguys_ranged,Ranged Radiant Creep
npc_dota_creep_goodguys_ranged_upgraded,Ranged Radiant Mega Creep
npc_dota_dark_troll_warlord_skeleton_warrior,Skeleton Warrior
npc_dota_dire_eidolon,Dire Eidolon
npc_dota_eidolon,Eidolon
npc_dota_enraged_wildkin_tornado,Tornado
npc_dota_furion_treant,Treant
npc_dota_goodguys_fillers,Radiant Building
npc_dota_goodguys_fort,Radiant Ancient
npc_dota_goodguys_melee_rax_bot,Radiant Bottom Melee Barracks
npc_dota_goodguys_melee_rax_mid,Radiant Mid Melee Barracks
npc_dota_goodguys_melee_rax_top,Radiant Top Melee Barracks
npc_dota_goodguys_range_rax_bot,Radiant Bottom Ranged Barracks
npc_dota_goodguys_range_rax_mid,Radiant Mid Ranged Barracks
npc_dota_goodguys_range_rax_top,Radiant Top Ranged Barracks
npc_dota_goodguys_siege,Radiant's Siege Creep
npc_dota_goodguys_tower1_bot,Radiant Bottom Tier 1 Tower
npc_dota_goodguys_tower1_mid,Radiant Mid Tier 1 Tower
npc_dota_goodguys_tower1_top,Radiant Top Tier 1 Tower
npc_dota_goodguys_tower2_bot,Radiant Bottom Tier 2 Tower
npc_dota_goodguys_tower2_mid,Radiant Mid Tier 2 Tower
npc_dota_goodguys_tower2_top,Radiant Top Tier 2 Tower
npc_dota_goodguys_tower3_bot,Radiant Bottom Tier 3 Tower
npc_dota_goodguys_tower3_mid,Radiant Mid Tier 3 Tower
npc_dota_goodguys_tower3_top,Radiant Top Tier 3 Tower
npc_dota_goodguys_tower4,Radiant Tier 4 Tower
npc_dota_greater_eidolon,Greater Eidolon
npc_dota_greater_hawk,Greater Hawk
npc_dota_gyrocopter_homing_missile,Homing Missile
npc_dota_hero_alchemist,Alchemist
npc_dota_hero_ancient_apparition,Ancient Apparition
npc_dota_hero_antimage,Antimage
npc_dota_hero_axe,Axe
npc_dota_hero_bane,Bane
npc_dota_hero_base,Base Hero
npc_dota_hero_batrider,Batrider
npc_dota_hero_beastmaster,Beastmaster
npc_dota_hero_bloodseeker,Bloodseeker
npc_dota_hero_bounty_hunter,Bounty Hunter
npc_dota_hero_brewmaster,Brewmaster
npc_dota_hero_broodmother,Broodmother
npc_dota_hero_chaos_knight,Chaos Knight
npc_dota_hero_chen,Chen
npc_dota_hero_clinkz,Clinkz
npc_dota_hero_crystal_maiden,Crystal Maiden
npc_dota_hero_dark_seer,Dark Seer
npc_dota_hero_dazzle,Dazzle
npc_dota_hero_death_prophet,Death Prophet
npc_dota_hero_doom_bringer,Doom Bringer
npc_dota_hero_dragon_knight,Dragon Knight
npc_dota_hero_drow_ranger,Drow Ranger
npc_dota_hero_earthshaker,Earthshaker
npc_dota_hero_enchantress,Enchantress
npc_dota_hero_enigma,Enigma
npc_dota_hero_faceless_void,Faceless Void
npc_dota_hero_furion,Furion
npc_dota_hero_gyrocopter,Gyrocopter
npc_dota_hero_huskar,Huskar
npc_dota_hero_invoker,Invoker
npc_dota_hero_jakiro,Jakiro
npc_dota_hero_juggernaut,Juggernaut
npc_dota_hero_kunkka,Kunkka
npc_dota_hero_leshrac,Leshrac
npc_dota_hero_lich,Lich
npc_dota_hero_life_stealer,Lifestealer
npc_dota_hero_lina,Lina
npc_dota_hero_lion,Lion
npc_dota_hero_lone_druid,Lone Druid
npc_dota_hero_luna,Luna
npc_dota_hero_lycan,Lycan
npc_dota_hero_meepo,Meepo
npc_dota_hero_mirana,Mirana
npc_dota_hero_morphling,Morphling
npc_dota_hero_necrolyte,Necrolyte
npc_dota_hero_nevermore,Shadow Fiend
npc_dota_hero_night_stalker,Night Stalker
npc_dota_hero_obsidian_destroyer,Obsidian Destroyer
npc_dota_hero_ogre_magi,Ogre Magi
npc_dota_hero_omniknight,Omniknight
npc_dota_hero_phantom_assassin,Phantom Assassin
npc_dota_hero_phantom_lancer,Phantom Lancer
npc_dota_hero_puck,Puck
npc_dota_hero_pudge,Pudge
npc_dota_hero_pugna,Pugna
npc_dota_hero_queenofpain,Queen of Pain
npc_dota_hero_rattletrap,Rattletrap
npc_dota_hero_razor,Razor
npc_dota_hero_riki,Riki
npc_dota_hero_sand_king,Sand King
npc_dota_hero_shadow_demon,Shadow Demon
npc_dota_hero_shadow_shaman,Shadow Shaman
npc_dota_hero_silencer,Silencer
npc_dota_hero_skeleton_king,Skeleton King
npc_dota_hero_slardar,Slardar
npc_dota_hero_sniper,Sniper
npc_dota_hero_spectre,Spectre
npc_dota_hero_spirit_breaker,Spirit Breaker
npc_dota_hero_storm_spirit,Storm Spirit
npc_dota_hero_sven,Sven
npc_dota_hero_templar_assassin,Templar Assassin
npc_dota_hero_tidehunter,Tidehunter
npc_dota_hero_tinker,Tinker
npc_dota_hero_tiny,Tiny
npc_dota_hero_treant,Treant
npc_dota_hero_undying,Undying
npc_dota_hero_ursa,Ursa
npc_dota_hero_vengefulspirit,Vengeful Spirit
npc_dota_hero_venomancer,Venomancer
npc_dota_hero_viper,Viper
npc_dota_hero_warlock,Warlock
npc_dota_hero_weaver,Weaver
npc_dota_hero_windrunner,Windrunner
npc_dota_hero_witch_doctor,Witch Doctor
npc_dota_hero_zuus,Zeus
npc_dota_invoker_forged_spirit,Forged Spirit
npc_dota_juggernaut_healing_ward,Healing Ward
npc_dota_lesser_eidolon,Lesser Eidolon
npc_dota_lone_druid_bear1,Bear (Lv1)" ;
npc_dota_lone_druid_bear2,Bear (Lv2)" ;
npc_dota_lone_druid_bear3,Bear (Lv3)" ;
npc_dota_lone_druid_bear4,Bear (Lv4)" ;
npc_dota_lycan_wolf1,Lycan's Wolf (Lv1)" ;
npc_dota_lycan_wolf2,Lycan's Wolf (Lv2)" ;
npc_dota_lycan_wolf3,Lycan's Wolf (Lv3)" ;
npc_dota_lycan_wolf4,Lycan's Wolf (Lv4)" ;
npc_dota_necronomicon_archer_1,Necronomicon Archer (Lv1)
npc_dota_necronomicon_archer_2,Necronomicon Archer (Lv2)
npc_dota_necronomicon_archer_3,Necronomicon Archer (Lv3)
npc_dota_necronomicon_warrior_1,Necronomicon Warrior (Lv1)
npc_dota_necronomicon_warrior_2,Necronomicon Warrior (Lv2)
npc_dota_necronomicon_warrior_3,Necronomicon Warrior (Lv3)
npc_dota_neutral_alpha_wolf,Alpha Wolf
npc_dota_neutral_big_thunder_lizard,Big Thunder Lizzard
